name,ring,quadrant,isNew,status,description,tag,moved
Microsoft OneLake,ADOTAR,PLATAFORMAS,True,new,"<p><strong>Armazenamento</strong></p>
<p>Data lake unificado do Microsoft Fabric, construído sobre o ADLS Gen2, fornece uma única camada de armazenamento lógico em todos os espaços de trabalho e funcionalidades com suporte integrado para atalhos e tabelas delta.</p>
<p>É na prática a proposta de implementação do padrão Data Lake no Fabric.</p>
<p>Integra:</p>
<p>1. Lakehouse</p>
<p>2. Warehouse</p>
<p>3. Fluxos de dados</p>
<p>4. Notebooks</p>
<p>5. Atalhos</p>
<p>6. Compatível com Parquet, Delta, CSV, JSON, etc.</p>
<p><strong><a href=""https://learn.microsoft.com/pt-pt/fabric/onelake/onelake-overview"">OneLake</p>",Persistência,new
Fabric OneLake Shortcuts,ADOTAR,PLATAFORMAS,True,new,"<p><strong>Armazenamento</strong></p>
<p>No contexto do Microsoft Fabric, são um recurso estratégico que permite a relação lógica entre locais fisicos de armazenamento sem necessidade de duplicação de  dados. </p>
<p>Particularmente importante em cenários de virtualização de dados, reutilização e colaboração entre áreas de trabalho no OneLake, fundamentais para a colaboração entre domínios e a arquitetura unificada de Lakehouse.</p>
<p>Principais funcionalidades</p>
<p>1. Utilização de dados entre outras Lakehouses, bases de dados ou armazenamento externos.</p>
<p>2. Expor dados entre áreas de trabalho e domínios.</p>
<p>3. Evitar cópias completas de dados, melhorando a eficiência e a governação.</p>
<p>4. Integra com Lakehouse, Fluxos de Dados e Pipelines.</p>
<p><strong><a href=""https://learn.microsoft.com/en-us/fabric/onelake/onelake-shortcuts"">One Lake Shortcuts</p>",Persistência,new
Microsoft Purview,AVALIAR,PLATAFORMAS,True,new,"<p><strong>Governação</strong></p>
<p>Estratégica para plataformas baseadas no Azure, especialmente para cenários de conformidade e governação coorporativa</p>
<p>Oferece:</p>
<p>1. Catalogação de dados</p>
<p>2. Linhagem</p>
<p>3. Classificação</p>
<p>Integra com o Azure Data Services, o Power BI, o SQL, e o Microsoft Fabric.</p>
<p><strong><a href=""https://learn.microsoft.com/en-us/purview/unified-catalog"">Pureview Data Catalog</p>",Governação,new
REP,ESPERAR,PLATAFORMAS,False,no change,"<p><strong>Plataforma de utilização geral</strong></p>
<p>O REP é o sistema que permite ao Banco de Portugal fazer o controlo sobre as Obrigações de Reporte a que os Agentes Financeiros/ Entidades estão obrigados. Identifica para cada Entidade quais as Obrigações de Reporte que foram cumpridas e quais se encontram em incumprimento desde sempre ou num determinado período.</p>
Identifica para cada Entidade quais as Obrigações de Reporte que foram cumpridas e quais se encontram em incumprimento desde sempre ou num determinado período.</p>",Utilização geral,none
RPI,AVALIAR,PLATAFORMAS,False,no change,"<p><strong>Plataforma de utilização geral</strong></p>
<p>O Repositório de Partilha Interna (RPI) , é um repositório centralizado de dados para partilha interna no DDE. O principal objetivo do RPI é tornar os processos de incorporação e partilha de informação mais eficientes, harmonizados e robustos.</p>",Persistência,none
Spark Jobs,ADOTAR,PLATAFORMAS,True,new,"<p><strong>Computação</strong></p>
<p>Plataforma de execução para computação e processamento distribuído usando Apache Spark; essencial para ETL, processamentos batch, streaming e Machine Learning .</p>
<p>Podem ser habilitados por outras Plataformas  (Fabric, Synapse, Databricks).</p>
<p><strong><a href=""https://learn.microsoft.com/en-us/fabric/data-engineering/spark-job-definition"">Spark Jobs</p> </p>",Computação,new
SQL End Points,ADOTAR,PLATAFORMAS,True,new,"<p><strong>Utilização geral</strong></p>
<p>Camada de interface no Fabric para exposição de dados (de lakehouse, warehouse ou outros ) como pontos de acesso SQL, acessiveis por ferramentas de BI, relatórios e cenários de integração em análises</p>
<p><strong><a href=""https://learn.microsoft.com/en-us/sql/relational-databases/server-management-objects-smo/tasks/implementing-endpoints?view=sql-server-ver16"">SQL End Points</p>","Dados
Analitica",new
Azure Monitor,AVALIAR,PLATAFORMAS,True,new,"<p><strong>Monitorização e Observabilidade</strong></p>
<p>Funcionalidades de monitorização e observabilidade geridos (por exemplo, Azure Monitor, AWS CloudWatch, Google Cloud Operations Suite) </p>
<p><strong><a href=""https://azure.microsoft.com/en-us/products/monitor/?ef_id=_k_Cj0KCQjww-HABhCGARIsALLO6XxSqEexyrUawSv2uyCJkJ7okojO5jK7HWGU9fz947lC0mlMVoEPHjoaAmlkEALw_wcB_k_&OCID=AIDcmmj8drqamm_SEM__k_Cj0KCQjww-HABhCGARIsALLO6XxSqEexyrUawSv2uyCJkJ7okojO5jK7HWGU9fz947lC0mlMVoEPHjoaAmlkEALw_wcB_k_&gad_source=1&gclid=Cj0KCQjww-HABhCGARIsALLO6XxSqEexyrUawSv2uyCJkJ7okojO5jK7HWGU9fz947lC0mlMVoEPHjoaAmlkEALw_wcB"">Azure Log Analytics</p>","Monitorização
Observabilidade",new
Policy-Driven Data Protection and Compliance Enforcement for Data Products,AVALIAR,TÉCNICAS,True,new,"<p><strong>Segurança e Conformidade</strong></p>
<p>Security governance mechanism to detect and restrict sharing or movement of sensitive data within Fabric artifacts (e.g., lakehouses, datasets, reports); integrates with Microsoft Purview DLP engine and compliance center
Establishes the use of sensitivity labels, automated classification, and data loss prevention policies to enforce compliance and access controls across datasets, reports, lakehouses, and semantic models. Enables federated governance with centralized guardrails, export blocking, and audit workflows. Supports policy inheritance, integration with cataloging tools (e.g., Purview), and aligns with secure data product delivery strategies.
Reinforced by:
1. Data Loss Prevention Policies
2. Unified Role-Based Access Governance
3. Item-Level Permissions
4. Federated Identity Governance
5. Governance Default Policies (future)
6. Lineage View
7. Microsoft Purview (Tool)
8. Fabric Semantic Models, Reports, Datasets</p>
<p><strong><a href=""https://www.microsoft.com/en-us/security/business/security-101/what-is-data-loss-prevention-dlp"">Data Loss Prevention Policies</p>","Segurança
Conformidade",new
Data Lifecycle Management,TESTAR,TÉCNICAS,True,new,"Fabric Lifecycle Management is an important emerging topic that goes beyond individual tools and speaks to governance, promotion, versioning, and automation across workspaces, pipelines, notebooks, models, and datasets in Microsoft Fabric.
This is clearly a technique that should be added to your Radar, and it will tie together several tools and practices you've already mapped.
Governance and automation pattern for promoting, versioning, validating, and monitoring Fabric assets (notebooks, pipelines, dataflows, semantic models, etc.) across environments such as Dev, Test, and Prod
<p><strong><a href=""https://learn.microsoft.com/en-us/fabric/cicd/"">Fabric Lifecycle management</p>","Dados
Governação",new
CI/CD,ADOTAR,TÉCNICAS,False,new,"Formalizes automated build, validation, and deployment processes for versioned pipelines, notebooks, semantic models, and related data platform assets. Supports environment promotion workflows (Dev/Test/Prod), test harnesses, rollback strategies, and environment-as-code patterns to ensure consistency, traceability, and governance across delivery teams. Reinforced by Git-based workflows and integration with orchestration and access governance layers.
Automation pattern for versioning, validating, and deploying data pipelines, notebooks, models, and configurations across environments using Git-based workflows and deployment pipelines
Covers:
1. Version control for:
2. Notebooks
3. Pipelines
4. Dataflows
5. Semantic models
6. Lakehouse schema definitions
Integration with:
1. GitHub Actions (or Azure DevOps Pipelines)
2. Workspace APIs
3. Artifact packaging and promotion
Validation steps:
1. Code linting
2. Pipeline testing (e.g., dry runs)
3. Deployment checks
Environment targets:
1. Dev / Test / Prod promotion
2. Role and permission enforcement at deploy time
Reinforced by:
1. Versioned and Automated Lifecycle Management for Platform Workloads
2. Lifecycle Management for Bundled Fabric Artifacts Across Environments
3. Pipeline-as-Code Patterns
4. Delegated Operations Models
5. Notebook Development Lifecycle
6. GitHub Actions / CI/CD Tools
7. Semantic Models, Pipelines, Lakehouses, Datasets
<p>CI/CD (Continuous Integration/Continuous Delivery ou Deployment) é uma prática de desenvolvimento de software que automatiza o processo de integração de código, testes e implantação, visando acelerar e melhorar a qualidade das entregas. O CI (Integração Contínua) foca na integração regular de alterações no código, enquanto o CD (Entrega ou Implantação Contínua) automatiza a entrega dessas alterações para os ambientes de produção.</p>","Engenharia
Automação",up
fine-grained access Control,AVALIAR,TÉCNICAS,True,new,"Practice of assigning fine-grained access to specific items (datasets, reports, notebooks, pipelines); complements workspace-level roles with targeted control over sensitive or shared resources
Applies to:
1. Power BI and Fabric items (e.g., reports, datasets, lakehouses, notebooks)
2. Synapse artifacts (pipelines, notebooks)
3. Azure ML, Purview, Databricks, etc.
Allows granular control beyond what workspace roles alone offer
Often tied to AAD groups, managed identities, or user-level access
<p><strong><a href=""https://learn.microsoft.com/en-us/fabric/security/permission-model"">Azure Item Permissions</p>","Governação
Controlo de Acessos",new
DataLake Schema,ADOTAR,TÉCNICAS,True,new,"Flexible, schema-on-read or late-binding approach using open formats (e.g., Parquet, Delta); aligns with data lakehouse architecture; favors agility and scale over rigid structure
Emphasizes:
1. Schema evolution
2. Partitioning, columnar storage
3. Open formats over cloud storage (e.g., ADLS)
Common in ADLS Gen2 + Delta Lake, Synapse Lake Database, Fabric Lakehouse
<p><strong><a href=""https://learn.microsoft.com/en-us/fabric/data-engineering/lakehouse-schemas"">Lakehouse Schema</p>",Persistência,new
Data Lineage,TESTAR,TÉCNICAS,True,new,"Practice of visually or programmatically tracking data dependencies across items (e.g., pipelines, notebooks, datasets, semantic models); enables impact analysis, governance, and trust in Microsoft Fabric and modern data platforms
Captures relationships across:
1. Dataflows
2. Pipelines
3. Notebooks
4. Lakehouses / Warehouses
5. Reports and semantic models
Useful for:
1. Impact analysis (e.g., what breaks if a source changes?)
2. Trust and auditability
3. Documentation and governance
4. Operational debugging
<p><strong><a href=""https://docs.open-metadata.org/latest/how-to-guides/data-lineage/explore"">Lineage View</p>","Metadata
Catalogação
Lineage",new
Semantic Model of Data,ADOTAR,TÉCNICAS,True,new,"Practice of building governed, reusable data abstractions that expose business metrics and logic over raw or curated data; foundational for Power BI, Microsoft Fabric, and self-service enablement
Built using:
1. Power BI datasets
2. Fabric semantic models
Defines:
1. Measures, KPIs, calculated columns
2. Relationships across tables
3. Metadata (descriptions, labels, formatting)
Sits between the lakehouse/warehouse and reports/dashboards
Supports row-level security, role-based visibility, and reusability
Establishes semantic models as standardized, reusable, and governed outputs of data products. Enables federated domain ownership, KPI consistency, and secure self-service analytics. Supports cross-source integration (lakehouse, shortcuts, warehouse), policy enforcement, CI/CD promotion, and automated reporting across the analytics platform.
Reinforced by:
1. Semantic Models (Platform Capability)
2. SQL Endpoints for Data Product Access
3. Item-Level Permissions
4. Policy-Driven Data Protection
5. Lifecycle Governance for Bundled Fabric Artifacts
6. Delegated Operations Models
7. Lineage View and Metrics Governance (future)
You're formalizing semantic model design as:
1. A data product output: standard, reusable, traceable
2. A governance surface: versioned, reviewed, and permissioned
3. A cross-domain integration layer: federated ownership, shared definitions
4. A standard for metrics: enforcing KPI consistency and lineage
5. An API-ready artifact: for Power BI, Excel, tools, and (future) headless BI use cases
This positions semantic models at the core of:
1. Analytics self-service
2. Data product interface strategy
3. Federated BI governance
4. Report reuse and automation
<p><strong><a href=""https://en.wikipedia.org/wiki/Semantic_data_model"">Semantic Models</p>","Dados
Modelação",new
Data Classification,ADOTAR,TÉCNICAS,True,new,"Classification mechanism that applies persistent tags to data artifacts (e.g., datasets, reports, notebooks); enables downstream enforcement of DLP policies, access restrictions, and compliance tracking across Microsoft Fabric and Power BI
<p><strong><a href=""https://learn.microsoft.com/en-us/purview/sensitivity-labels"">Sensitivity Labels</p>","Dados
Governação",new
Coarse Grained Access Control,ADOTAR,TÉCNICAS,True,new,"Workspace Roles are a critical concept for access control, collaboration, and data security, especially in services like Synapse, Microsoft Fabric, Power BI, Databricks, and Azure ML. While not a service or tool, it's an architectural access model that applies to:
1. Microsoft Fabric workspaces
2. Azure Synapse workspaces
3. Power BI workspaces
4. Databricks and Azure ML
Roles typically define:
1. Who can create, manage, or share content
2. Dataset refresh permissions, pipeline runs, model deployments
<p><strong><a href=""https://learn.microsoft.com/en-us/fabric/fundamentals/roles-workspaces"">Microsoft Fabric Workspace Roles</p>","Governação
Controlo de Acessos",new
Observability 2.0,AVALIAR,TÉCNICAS,True,new,"<p><strong>Observability is a Technique — it represents an architectural and operational practice for understanding system behavior, especially in distributed or cloud-native environments. We can infer multiple blips across quadrants based on how organizations implement Observability:
</p>
<p><strong><a href=""https://www.youtube.com/watch?v=IVpQeMDWysA"">Observability 2.0</a></strong> represents a shift from traditional, disparate monitoring tools to a unified approach that leverages structured, high-cardinality event data in a single data store. This model captures rich, raw events with detailed metadata to provide a single source of truth for comprehensive analysis. By storing events in their raw form, it simplifies correlation and supports real-time and forensic analysis and enables deeper insights into complex, distributed systems. This approach allows for high-resolution monitoring and dynamic investigation capabilities. Observability 2.0 prioritizes capturing high-cardinality and high-dimensional data, allowing detailed examination without performance bottlenecks. The unified data store reduces complexity, offering a coherent view of system behavior, and aligning observability practices more closely with the software development lifecycle.</p>","Monitorização
Observabilidade",new
Database As a Service (DBaaS),TESTAR,TÉCNICAS,True,new,"The practice of deploying RDBMS engines using managed services to reduce operational overhead while aligning with cloud ops models.
Shifts ops responsibility to the platform; encourages standardization on managed offerings.
The technique is valid and widely used, but some older platform implementations (like MariaDB Single Server) no longer align with the modern expression of that technique.",Persistência,new
Zone-Redundant High Availability,ADOTAR,TÉCNICAS,True,new,"Configuring managed database services for high availability across availability zones for resilience.
Improves reliability posture; critical for production workloads.","Operações
Governação",new
Centralized Data Governance,AVALIAR,TÉCNICAS,True,new,"Shared policy enforcement and role propagation
Applies when unifying access controls, metadata, and lineage across lakehouse environments
Practice of enforcing consistent governance policies (e.g., access, sensitivity, sharing) across all Microsoft Fabric workspaces through standardized role definitions, inheritance rules, and sensitivity label propagation. Realized via Governance Default Policies such as workspace templates, default role scopes, and shared governance controls.","Dados
Governação",new
Metadata-Driven Discovery and Navigation,AVALIAR,TÉCNICAS,True,new,"Design principles around findability
Promotes findability and responsible reuse by ensuring that all datasets, models, and reports include rich, standardized metadata (descriptions, tags, classifications). Supports federated environments where discoverability and trust depend on transparent metadata rather than central catalogs. Reinforced by Sensitivity Labels, Lineage View, and Fabric Search.","Metadata
Catalogação
Lineage",new
Cross-platform Metadata Management,ESPERAR,TÉCNICAS,True,new,"Lineage and metadata across systems
Managing metadata that spans multiple compute engines or data products (SQL, ML, BI).
Enables unified metadata and lineage visibility across Microsoft Fabric, Power BI, Microsoft Purview, and external systems. Realized through Lineage Aggregation Patterns that standardize how metadata and dependencies are collected, visualized, and queried across data products and systems.","Metadata
Catalogação
Lineage",new
Disaster recovery,AVALIAR,TÉCNICAS,True,new,"Emphasizes designing for backup, disaster recovery, and business continuity using cloud-native and service-specific mechanisms
Covers inclusion of backup and DR strategies in data platform designs.
Can reference not just Vault, but also native backup/restore in Fabric, Synapse, or Azure SQL.
Designs for business continuity and disaster recovery by implementing data protection strategies across lakehouses, warehouses, and pipelines. Includes snapshotting, automated backups, recovery runbooks, and service-specific retention policies. Reinforced by tools like Azure Backup Vault, Recovery Services Vault, and Infrastructure-as-Code for recovery workflows.","Governação
Controlo de Acessos",new
DataLake,ADOTAR,TÉCNICAS,True,new,"Uses cloud object storage and open formats to support layered lakehouse design; enabled by ADLS Gen2 in Azure
Core to modern cloud-native data lakes; supports hierarchical namespaces, ACLs, and delta formats
Use of hierarchical namespaces, RBAC, ACLs, and delta format over blob storage for open lakehouse patterns",Persistência,new
DataLake Zoning,TESTAR,TÉCNICAS,True,new,"Establishes a standardized organizational structure within lakehouses using logical zones (e.g., Bronze, Silver, Gold) or hierarchical layers (Raw, Cleansed, Curated). Enables separation of ingestion, transformation, and consumption stages to support traceability, governed reuse, and scalable modeling. Aligns with Medallion Architecture principles and complements open storage foundations in OneLake or ADLS Gen2.","Persistência
Governação",new
Immutable Storage for Compliance and Recovery,ESPERAR,TÉCNICAS,True,new,"Leverages blob immutability, versioning, and legal holds; useful in regulated industries
Leveraging blob immutability policies and versioning for regulatory or DR purposes","Persistência
Governação",new
Multi-tiered Storage,ESPERAR,TÉCNICAS,True,new,"Pattern for optimizing cost/performance using blob tiering (hot/cool/archive)
Tiering blobs (hot, cool, archive) for cost-performance balance","Persistência
Governação",new
Infrastructure-as-Code,TESTAR,TÉCNICAS,True,new,"Applies declarative automation using tools like ARM, Bicep, Terraform, or GitHub Actions to provision and manage Microsoft Fabric environments. Includes workspace creation, role assignments, capacity bindings, telemetry alerting, and backup settings. Enables consistent, version-controlled, and auditable deployment of platform configurations across development, test, and production environments.","Engenharia
Automação",new
Secret and Credential Management,TESTAR,TÉCNICAS,True,new,"Standardizes the secure handling of secrets, credentials, and access tokens by using Azure Key Vault or equivalent services. Applies to pipelines, notebooks, APIs, and external connectors, ensuring no hardcoded credentials, auditable access, and secure integration across environments. Reinforces broader access control and DevOps automation patterns.
Defines a pattern for managing secrets, credentials, and tokens outside of pipelines, notebooks, or configuration files. Relies on vault-based governance mechanisms (e.g., Azure Key Vault) to securely store and inject credentials at runtime, ensuring separation of concerns, auditability, and role-based access. Enables secure CI/CD practices and environment-specific secret control.","Segurança
Governação",new
Event Based Monitor,TESTAR,TÉCNICAS,True,new,"Implements structured, goal-driven alerting using metric-based thresholds aligned to SLOs and error budgets. Supports traceability, feedback loops, and operational readiness by defining actionable alerts at key failure or saturation points across pipelines, Spark jobs, and compute resources. Reinforced by Azure Metric Alerts, Application Insights, and centralized telemetry.
Reinforced by:
1. Azure Metric Alerts
2. Application Insights
3. SLOs and Error Budgets
4. Structured Logging
5. OpenTelemetry Adoption
6. Centralized Telemetry Architecture","Monitorização
Observabilidade",new
Private Connectivity,ESPERAR,TÉCNICAS,True,new,"Implements a layered security strategy where data platform components are only accessible through explicitly defined, private, and role-governed pathways. Uses Azure Private Link, managed identities, and RBAC to enforce least-privilege access at the network and service layer, ensuring isolation from public exposure by default. Enables alignment with Zero Trust, compliance, and governance objectives.
1. Explicitly communicates an architectural stance — security is embedded into the design of access patterns
2. Avoids the ambiguity of “platform architecture” by focusing on connectivity and isolation
3. Brings together network security + identity + access control
Reinforced by:
1. Azure Private Link (Platform)
2. Azure Key Vault (Tool, via managed identities)
3. Privileged Access Isolation (Technique)
4. Externalized Secret and Credential Management (Technique)
5. Microsoft Entra ID
6. RBAC + Item Permissions","Segurança
Controlo de Acessos",new
Compute Governance,ADOTAR,TÉCNICAS,True,new,"Implements cost control strategies through scoped compute permissions, execution constraints, and resource tagging. Supports budget alignment and cost accountability by limiting access to high-cost compute actions (e.g., large Spark jobs, capacity usage), enforcing execution windows, and mapping compute usage to teams, projects, or domains. Reinforced by RBAC, Fabric capacity planning, CI/CD automation, and telemetry.
Reinforced by:
1. Compute Permissions and Execution Control
2. CI/CD for Pipelines
3. Azure Metric Alerts
4. Fabric Capacity Metrics App
5. Centralized Telemetry Architecture
6. (Future) Execution Guardrails, Delegated Ops","Governação
Controlo de Acessos",new
Data Product Ownership,TESTAR,TÉCNICAS,True,new,"Establishes a governance model in which each data product (e.g., dataset, semantic model, API, pipeline) has an accountable owner responsible for its quality, security, and lifecycle. Ties access, visibility, and promotion rights to ownership boundaries using item-level permissions, workspace roles, and versioning conventions. Lays the foundation for federated governance and domain-aligned operations.
Reinforced by:
1. Item-Level Permissions for Data Platform Assets
2. Unified Role-Based Access Governance
3. Semantic Model Design
4. Fit-for-Purpose Schema Design
5. Fabric Explorer & Search (for discoverability)","Dados
Governação",new
Data Product Operating Model,TESTAR,TÉCNICAS,True,new,"Enables domain or team-specific responsibility for managing pipelines, compute resources, and data products within predefined governance boundaries. Supports a federated operational model where platform teams define global policies, while delivery teams manage execution, CI/CD, and artifact ownership. Reinforced by RBAC, CI/CD automation, scoped permissions, and telemetry guardrails.
This technique is a stepping stone toward future data mesh or domain-oriented operating models, and it’s particularly valuable in scaled organizations.
 Reinforced by:
1. Compute Permissions and Execution Control
2. Item-Level Permissions
3. Unified Role-Based Access Governance
4. CI/CD for Pipelines and Notebooks
5. Lifecycle Management for Fabric Artifacts","Dados
Governação",new
Service Identity for Automation,TESTAR,TÉCNICAS,True,new,"Service Identity Management is emerging as a critical capability for secure automation, integration, and platform extensibility.
Service identities are:
1. Used everywhere in automation, data pipelines, notebook execution, integration with external systems
2. Typically managed via:
2.1 Azure Entra ID → Service principals, managed identities, app registrations
2.2 CI/CD → GitHub Actions, deployment credentials
2.3 Secrets management → Key Vault, secret injection
3. Crucial for:
3.1 Enforcing least privilege
3.2 Enabling auditability
3.3 Separating runtime identity from human roles
Defines the governance model for managing non-human identities (e.g., service principals, managed identities) used in CI/CD pipelines, notebooks, integration endpoints, and automation scripts. Enables secure authentication, fine-grained permissions, and lifecycle visibility across platform components. Reinforced by Entra ID, Key Vault integration, and CI/CD best practices.It
1. Stresses the governance aspect (not just registration)
2. Highlights automation and integration as core use cases
3. Keeps it platform-agnostic while still pointing toward managed identities, app roles, and secure delegation
Reinforced by:
1. Microsoft Entra ID
2. Externalized Secret and Credential Management
3. GitHub Actions and CI/CD for Pipelines
4. Secure-by-Design Connectivity
5. Delegated Operations Models","Segurança
Controlo de Acessos",new
Business-Led Data Transformation Using Low-Code Pipelines,ESPERAR,TÉCNICAS,True,new,"Enables data analysts and citizen developers to build governed, reusable data transformation logic using low-code platforms like Dataflows Gen2. Reinforces access control, lineage tracking, and open-format output, while supporting collaboration with engineering teams in a fit-for-purpose pipeline strategy. Complements Spark/Fabric Pipelines for scalable workloads.
1. Focuses on the architectural decision to empower business users
2. Tightly scoped to governed transformation with Dataflows Gen2
3. Cleanly separates from Spark/Fabric Pipelines, which serve a different layer
Reinforced by:
1. Dataflows Gen2
2. Item-Level Permissions
3. Unified Role Governance
4. Fit-for-Purpose Schema Design
5. Open Storage Foundation
6. Pipeline-Native Orchestration
7. Lineage View","Engenharia
Automação",new
Multi-language compute engine for data,ADOTAR,TÉCNICAS,True,new,"Establishes the use of standardized distributed languages—both declarative (e.g., Spark SQL) and imperative (e.g., PySpark)—as the foundation for executing large-scale data processing workloads. Supports integration with orchestration layers, schema-driven modeling, CI/CD pipelines, and open-format storage, while maintaining flexibility for future engine portability and runtime abstraction.",Processamento,new
Notebooks Development Experience,ADOTAR,TÉCNICAS,True,new,"Define a governed, collaborative approach to notebook usage in your cloud data platform
Defines the architectural approach for managing notebooks as governed, reusable, and versioned development artifacts. Includes modular design, parameterization, approval workflows, and CI/CD integration to support reuse across teams. Applies to Fabric Notebooks, Jupyter, and cross-platform environments. Enables federated data engineering, auditability, and production readiness.
Notebooks are not just scratchpads — they are governed, versionable, and reusable development assets that integrate into pipelines, CI/CD, and team workflows.
This enables:
1. Standardization of development practices
2. Reusability and parameterization
3. Lifecycle control (versioning, approvals, deprecation)
4. Cross-platform flexibility (e.g., Fabric + Databricks + GitHub)
Reinforced by:
1. Fabric Notebooks
2. Jupyter Notebooks
3. CI/CD for Pipelines and Notebooks
4. Spark Execution Languages (PySpark, Spark SQL)
5. Delegated Operations Models
6. Pipeline-as-Code Patterns
7. Unified Role-Based Access Governance
8. Cross-Platform Collaboration Patterns (future)","Dados
Governação",new
Data Connectivity Between Cloud and On-premises,ADOTAR,TÉCNICAS,True,new,"Establishes a secure and policy-driven approach to hybrid data integration in transitional architectures. Enables orchestration of on-premises and cloud data sources through controlled access channels, with governance over credentials, network exposure, and execution boundaries. Supports current hybrid use cases while preparing for cloud-first adoption and future decommissioning of legacy access points.
Reinforced by:
1. Pipeline-Native Orchestration
2. Externalized Secret and Credential Management
3. Secure-by-Design Connectivity
4. Privileged Access Isolation
5. CI/CD for Pipelines
6. (Hold) Azure Data Factory","Segurança
Controlo de Acessos",new
Open Data Storage,ADOTAR,TÉCNICAS,True,new,"Establishes a structured and scalable approach to managing raw, curated, and refined data using open-format storage systems such as ADLS Gen2. Supports data zoning, storage tier optimization, access control (RBAC/ACLs), and lifecycle policies. Forms the foundation for schema governance, pipeline execution, and cross-domain data sharing. Reinforced by metadata tools, orchestration, and open table formats.
Reinforced by:
1. ADLS Gen2
2. Open Storage Foundation for Lakehouse Architectures
3. Fit-for-Purpose Schema Design
4. Pipeline-Native Orchestration
5. Fabric Notebooks, Pipelines, Dataflows
6. Shortcuts, Vacuum, Lineage View
7. Security and Cost Governance Techniques (e.g., Secure-by-Design Connectivity, Retention Policies)",Persistência,new
Strategic Data Format,ADOTAR,TÉCNICAS,True,new,"Establishes standard practices for selecting, enforcing, and managing data serialization formats such as Parquet, JSON, CSV, and XML. Aligns format choice to use cases (e.g., analytics, APIs, exports), governs schema evolution and compression strategies, and ensures consistency across ingestion, transformation, and data sharing layers. Reinforced by open storage principles, pipeline design, and schema governance.
1. Emphasizes this is a governance pattern, not a tooling choice
2. Covers both performance (Parquet) and interoperability (CSV, JSON)
3. Leaves room to support Delta, AVRO, ORC, etc. in the future
Reinforced by:
1. Open Storage Foundation for Lakehouse Architectures
2. Fit-for-Purpose Schema Design
3. Dataflows / Pipelines
4. Spark Jobs / PySpark / Spark SQL
5. Vacuum and Lifecycle Management
6. CI/CD for Pipelines
7. Lineage View
8. (Future) Delta Sharing or API Exposure Patterns",Persistência,new
Git Ops,TESTAR,TÉCNICAS,True,new,"Establishes a version-controlled and automation-driven approach to managing data platform assets such as pipelines, notebooks, and configurations. Supports CI/CD integration, environment promotion (Dev/Test/Prod), rollback, and collaborative development using Git-native workflows. Reinforced by modular design, access governance, and federated contribution models.
It’s a lifecycle technique that:
1. Covers pipelines, notebooks, configurations
2. Uses versioning, promotion, and automation
3. Applies to both code and metadata
Supports federated contribution, traceability, and governance
Reinforced by:
1. CI/CD for Pipelines and Notebooks
2. Pipeline-as-Code Patterns
3. Notebook Development Lifecycle
4. Delegated Operations Models
5. GitHub Actions / GitHub Repos / Git (Tools)
6. Externalized Secrets
7. (Future) Environment Promotion & IaC Patterns","Engenharia
DevOps",new
Query Language Support,ADOTAR,TÉCNICAS,True,new,"Establishes the architectural pattern of exposing SQL endpoints as governed interfaces for accessing and consuming data products. Enables self-service query access via BI tools and federated systems, while ensuring alignment with RBAC, DLP, and data product ownership models. Supports semantic modeling, downstream traceability, and federated access controls.
This tecnhique supports:
1. Self-service discovery and access for BI, analysts, and downstream tools
2. Governance and RBAC/label-based controls on exposed data
3. Alignment with data product delivery, semantic modeling, and query federation
4. Potential cross-platform data access (e.g., via Power BI, Excel, third-party tools)
Reinforced by:
1. SQL Endpoints (Platform Capability)
2. Item-Level Permissions
3. Policy-Driven Data Protection
4. Semantic Models
5. Data Product Interface Design (API/SQL)
6. Lineage View
7. Delegated Operations Models","Governação
Controlo de Acessos",new
Data Discovery,ADOTAR,TÉCNICAS,True,new,"Establishes a governance and usability strategy that leverages the Microsoft Fabric Web Explorer and Search interfaces to enable secure, role-aware access to data platform artifacts. Supports metadata-driven discovery, lineage navigation, permission-based interaction, and federated ownership visibility. Enables scalable, self-service data product usage in multi-domain environments.
Reinforced by:
1. Microsoft Fabric Explorer and Search (Tools)
2. Item-Level Permissions
3. Policy-Driven Data Protection
4. Lineage View and Semantic Models
5. Federated Governance Models
6. Data Product Ownership and Discovery Patterns (future)
7. Metadata Classification and Tagging
You are formalizing a decision to:
1. Use UI-level discovery and governance surfaces (Explorer + Search) as part of platform strategy
2. Enable persona-driven access, discoverability, and productivity
3. Support data product discovery, sharing, lineage awareness, and governed action scopes
4. Align the interface with metadata strategies, policy enforcement, and role-based access
This technique bridges:
1. Data governance
2. Self-service enablement
3. Platform usability
4. Search, metadata, and classification strategy","Pesquisa
Descoberta",new
CluedIn,ESPERAR,FERRAMENTAS,True,new,"CluedIn - Microsoft Master Data Management
Modern master data management that integrates seamlessly with the Microsoft Data and Analytics suite to deliver data governance","Metadata
Catalogação
Governação",new
Scala,ESPERAR,LINGUAGENS & FRAMEWORKS,True,new,"The Scala Programming Language
Pick your favorite notebook. Run massively distributed big data pipelines; train NLP or ML models; perform numerical analysis; visualize data and more
Reactive UI's backed by types. Use the same Scala libraries across the stack. Integrate with the JavaScript library and tooling ecosystem.","Processamento
Consulta",new
